establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
"E.P. N 197,Fotovoltaico,RIO NEGRO,PILCANIYEU,,No,0101000020E61000006632DAB215A551C075FA49CE6C5D44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.57944938,-40.72988299]}"""
"Escuela Hogar N 307,Fotovoltaico,RIO NEGRO,NORQUINCO,,No,0101000020E61000001CB0EDE5A5AD51C0B3CE7CF75CD744C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.71325062,-41.68252462]}"""
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Corralito,No,0101000020E6100000CE1D79F772AD51C02030E619C15C44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.71014201,-40.72464298]}"""
"E.P. N 180,Fotovoltaico,RIO NEGRO,PILCANIYEU,,No,0101000020E6100000CE1D79F772AD51C02030E619C15C44C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.71014201,-40.72464298]}"""
",Fotovoltaico,RIO NEGRO,ÃORQUINCO,Ojos de Agua,No,0101000020E610000048D34D20B47751C0E834EAA552C744C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.87036903,-41.55720972]}"""
"Escuela N 332,Fotovoltaico,RIO NEGRO,NORQUINCO,,No,0101000020E610000048D34D20B47751C0E834EAA552C744C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.87036903,-41.55720972]}"""
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Caï¿½adï¿½n Chileno,No,0101000020E61000004E7785DB6D8151C0FBD03FA0B77144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.02233017,-40.88841632]}"""
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Pilquinyeu Del Limay,Mapuche,0101000020E61000003067740FA28151C094FD2DE0E94144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.02551638,-40.51494982]}"""
"Escuela Hogar 152,Fotovoltaico,RIO NEGRO,PILCANIYEU,,No,0101000020E61000004E7785DB6D8151C0FBD03FA0B77144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.02233017,-40.88841632]}"""
"Escuela Hogar N 120,Fotovoltaico,RIO NEGRO,PILCANIYEU,,Mapuche,0101000020E61000003067740FA28151C094FD2DE0E94144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.02551638,-40.51494982]}"""
",Fotovoltaico,RIO NEGRO,PILCANIYEU,Anecï¿½n Grande,No,0101000020E61000007359F923949151C0F874129D27A944C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.27466678,-41.32152141]}"""
"Escuela Hogar N 158,Fotovoltaico,RIO NEGRO,PILCANIYEU,,No,0101000020E61000007359F923949151C0F874129D27A944C0,""{""""type"""":""""Point"""",""""coordinates"""":[-70.27466678,-41.32152141]}"""
",Fotovoltaico,RIO NEGRO,25 DE MAYO,Colan Conhue,No,0101000020E6100000238F75ABC64651C0F94A41335F5544C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.10587584,-40.66696778]}"""
"E.P. N 94,Fotovoltaico,RIO NEGRO,25 DE MAYO,,No,0101000020E6100000238F75ABC64651C0F94A41335F5544C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.10587584,-40.66696778]}"""
",Fotovoltaico,RIO NEGRO,EL CUY,Aguada Guzmï¿½n,No,0101000020E6100000235378AFDE3751C0F6DE4A3CC1FD43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.87296664,-39.98245958]}"""
"Escuela Hogar N 216,Fotovoltaico,RIO NEGRO,EL CUY,,No,0101000020E6100000235378AFDE3751C0F6DE4A3CC1FD43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.87296664,-39.98245958]}"""
",Fotovoltaico,RIO NEGRO,ÃORQUINCO,Lipetrï¿½n Grande,No,0101000020E61000002254CAE76C7251C0BC2DE453F8E044C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.78789706,-41.75757836]}"""
",Fotovoltaico,RIO NEGRO,ÃORQUINCO,Lipetren Chico,No,0101000020E6100000533BE4E27F6E51C05EE6E8AFDFF544C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.72655556,-41.92088889]}"""
"E.P. N 22,Fotovoltaico,RIO NEGRO,NORQUINCO,,No,0101000020E61000002254CAE76C7251C0BC2DE453F8E044C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.78789706,-41.75757836]}"""
"Escuela Hogar N 83,Fotovoltaico,RIO NEGRO,NORQUINCO,,No,0101000020E6100000533BE4E27F6E51C05EE6E8AFDFF544C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.72655556,-41.92088889]}"""
",Fotovoltaico,RIO NEGRO,25 DE MAYO,Atraico,Mapuche,0101000020E6100000861EEF5D1C6151C09C9A159BA0C144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.51735638,-41.5127138]}"""
"E.P. N 65,Fotovoltaico,RIO NEGRO,25 DE MAYO,,Mapuche,0101000020E6100000861EEF5D1C6151C09C9A159BA0C144C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.51735638,-41.5127138]}"""
",Fotovoltaico,RIO NEGRO,EL CUY,Naupa Huen,No,0101000020E6100000396F52878B6051C04219D3E15BEA43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.50851615,-39.83092902]}"""
"Escuela Hogar N 217,Fotovoltaico,RIO NEGRO,EL CUY,,No,0101000020E6100000396F52878B6051C04219D3E15BEA43C0,""{""""type"""":""""Point"""",""""coordinates"""":[-69.50851615,-39.83092902]}"""
