establecim,tecnologia,provincia,departamento,paraje,pueblo_originario,geom,geojson
"Manuel Alberti,Fotovoltaico,CÓRDOBA,SAN JAVIER,,No,0101000020E61000009FABADD85F4E50C01AC05B20411940C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2246,-32.1973]}"""
"Nicolas Rodriguez Pena,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E6100000B98D06F0163C50C055C1A8A44E403FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9389,-31.2512]}"""
",Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,La Laguna,No,0101000020E61000001895D409683650C0F241CF66D5F73EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.8501,-30.9681]}"""
"Dr. Enrique Rodriguez,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E61000001895D409683650C0F241CF66D5F73EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.8501,-30.9681]}"""
",Fotovoltaico,CÓRDOBA,PUNILLA,Puesto Pedernera,No,0101000020E610000000000000002C50C0AC8BDB68009F3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6875,-31.6211]}"""
"Ingeniero Arturo Pagliari,Fotovoltaico,CÓRDOBA,PUNILLA,,No,0101000020E610000000000000002C50C0AC8BDB68009F3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.6875,-31.6211]}"""
",Fotovoltaico,CÓRDOBA,MINAS,Cienaga de Britos,No,0101000020E6100000B98D06F0163C50C055C1A8A44E403FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9389,-31.2512]}"""
",Fotovoltaico,CÓRDOBA,SAN ALBERTO,El Volcan,No,0101000020E610000093A98251493D50C05D6DC5FEB27B3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9576,-31.4832]}"""
"Juan Pascual Pringles,Fotovoltaico,CÓRDOBA,SAN ALBERTO,,No,0101000020E610000093A98251493D50C05D6DC5FEB27B3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9576,-31.4832]}"""
",Fotovoltaico,CÓRDOBA,SAN ALBERTO,El Manantial,No,0101000020E6100000CD3B4ED1913C50C03411363CBD723FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9464,-31.4482]}"""
"Arturo Capdevila,Fotovoltaico,CÓRDOBA,SAN ALBERTO,,No,0101000020E6100000CD3B4ED1913C50C03411363CBD723FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.9464,-31.4482]}"""
",Fotovoltaico,CÓRDOBA,SAN JAVIER,El Portezuelo,No,0101000020E610000063EE5A423E4050C0CEAACFD5561440C0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.0038,-32.1589]}"""
",Fotovoltaico,CÓRDOBA,CALAMUCHITA,Villa Alpina,No,0101000020E6100000DC4603780B3450C04B598638D6F53FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.8132,-31.9603]}"""
"Escuela Paula Albarracin De Sarmiento,Fotovoltaico,CÓRDOBA,CALAMUCHITA,,No,0101000020E6100000DC4603780B3450C04B598638D6F53FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.8132,-31.9603]}"""
",Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,El Duraznal,No,0101000020E61000001DC9E53FA44F50C08FE4F21FD26F3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2444,-30.4368]}"""
"Juan Ignacio Gorriti,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E61000001DC9E53FA44F50C08FE4F21FD26F3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.2444,-30.4368]}"""
",Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,El Dieciseis,No,0101000020E6100000AF946588635950C04BC8073D9B853EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3967,-30.5219]}"""
"Dr. Dalmacio Velez Sardfield,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E6100000AF946588635950C04BC8073D9B853EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.3967,-30.5219]}"""
",Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,Bajo Lindo,No,0101000020E61000004F401361C35F50C086C954C1A8943EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4963,-30.5807]}"""
"Fray Justo Santa Maria De Oro,Fotovoltaico,CÓRDOBA,CRUZ DEL EJE,,No,0101000020E61000004F401361C35F50C086C954C1A8943EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.4963,-30.5807]}"""
",Fotovoltaico,CÓRDOBA,ISCHILIN,San Bernardo,No,0101000020E6100000401361C3D31B50C0DAACFA5C6D853EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4348,-30.5212]}"""
"Julian Rogelio Bracamonte,Fotovoltaico,CÓRDOBA,ISCHILIN,,No,0101000020E6100000401361C3D31B50C0DAACFA5C6D853EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4348,-30.5212]}"""
",Fotovoltaico,CÓRDOBA,ISCHILIN,La Cieneguita,No,0101000020E6100000BA6B09F9A01F50C077BE9F1A2F7D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4942,-30.489]}"""
"Martin Santiago,Fotovoltaico,CÓRDOBA,ISCHILIN,,No,0101000020E6100000BA6B09F9A01F50C077BE9F1A2F7D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.4942,-30.489]}"""
",Fotovoltaico,CÓRDOBA,COLON,La Mesada,No,0101000020E6100000D7A3703D0A1750C08CB96B09F9503FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.36,-31.3163]}"""
",Fotovoltaico,CÓRDOBA,COLON,La Estancita,No,0101000020E61000008195438B6C1750C077BE9F1A2F1D3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.366,-31.114]}"""
"Eloisa Paiges,Fotovoltaico,CÓRDOBA,COLON,,No,0101000020E6100000D7A3703D0A1750C08CB96B09F9503FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.36,-31.3163]}"""
"Gregoria Matorras,Fotovoltaico,CÓRDOBA,COLON,,No,0101000020E61000008195438B6C1750C077BE9F1A2F1D3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.366,-31.114]}"""
",Fotovoltaico,LA RIOJA,GENERAL OCAMPO,La Isla,No,0101000020E61000005AF5B9DA8A7D50C0B37BF2B0503B3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.9616,-31.2317]}"""
"Escuela N 343 Polica Federal Argentina,Fotovoltaico,LA RIOJA,GENERAL FELIPE VARELA,,No,0101000020E61000001A912043642D51C013CB1410E6373DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.70924452,-29.21835423]}"""
"Escuela N 217 Cabo Principal Daro Vera,Fotovoltaico,LA RIOJA,CHAMICAL,,No,0101000020E61000001A00C355529050C0F83D034DF83F3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.25502533,-30.24988252]}"""
",Fotovoltaico,LA RIOJA,VINCHINA,Vinchina,No,0101000020E61000001A2BF723010051C0D8B263C0E5613CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.00006961,-28.38241198]}"""
",Fotovoltaico,LA RIOJA,VINCHINA,Vinchina,No,0101000020E6100000AC9F06256F0F51C07C8ED9A3814F3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.24115873,-28.3105719]}"""
"Escuela N 212 Casa Pintada,Fotovoltaico,LA RIOJA,VINCHINA,,No,0101000020E6100000B22E6EA3010051C08BFD65F7E4613CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.0001,-28.3824]}"""
"Escuela N 301 Gendarmeria Nacional J.C.,Fotovoltaico,LA RIOJA,VINCHINA,,No,0101000020E6100000E5F21FD26F0F51C03A234A7B834F3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-68.2412,-28.3106]}"""
",Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,Salana,No,0101000020E6100000AB3E575BB1A750C08195438B6C073FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6202,-31.029]}"""
",Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,Rio de las Caï¿½as,No,0101000020E61000005DFE43FAEDA750C0FE43FAEDEBF03EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6239,-30.9411]}"""
"Escuela N 50,Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,,No,0101000020E6100000AB3E575BB1A750C08195438B6C073FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6202,-31.029]}"""
"Escuela N 388,Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,,No,0101000020E61000005DFE43FAEDA750C0FE43FAEDEBF03EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6239,-30.9411]}"""
"Escuela N 388,Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,,No,0101000020E610000098485099EEA750C029EF5F30EAF03EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.62393792,-30.94107344]}"""
",Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,Las Barrancas,No,0101000020E6100000075F984C15B850C04850FC1873F73EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.8763,-30.9666]}"""
"Escuela N 183 El Chacho,Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,,No,0101000020E6100000075F984C15B850C04850FC1873F73EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.8763,-30.9666]}"""
"Escuela N 348,Fotovoltaico,LA RIOJA,CHAMICAL,,No,0101000020E6100000D0DAC8D00C6550C05E94A83019243EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.5789072,-30.14100937]}"""
"Escuela N 312 Dr. Jos E. Colombres,Fotovoltaico,LA RIOJA,CHAMICAL,,No,0101000020E6100000DB208B1BD46650C06257280CA93A3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.60669602,-30.22914196]}"""
",Fotovoltaico,LA RIOJA,GENERAL OCAMPO,San Ramon,No,0101000020E61000006DE7FBA9F17250C00B24287E8CF93EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.796,-30.9748]}"""
"Escuela N 088 Andrea Picon Zalazar,Fotovoltaico,LA RIOJA,GENERAL OCAMPO,,No,0101000020E61000006DE7FBA9F17250C00B24287E8CF93EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.796,-30.9748]}"""
"Escuela N 236,Fotovoltaico,LA RIOJA,CHAMICAL,,No,0101000020E610000034215AE93D7650C03D154750C23D3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.84752878,-30.24124624]}"""
"Escuela N 100,Fotovoltaico,LA RIOJA,GENERAL OCAMPO,,No,0101000020E61000005AF5B9DA8A7D50C0B37BF2B0503B3FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.9616,-31.2317]}"""
"Jose De San Martin,Fotovoltaico,CÓRDOBA,RIO CUARTO,,No,0101000020E6100000B4C876BE9F1A50C001DE02098A1741C0,""{""""type"""":""""Point"""",""""coordinates"""":[-64.416,-34.1839]}"""
"Escuela N 214 Pedro Celestino Robador,Fotovoltaico,LA RIOJA,GENERAL BELGRANO,,No,0101000020E610000075EA0413837750C0F7DDDF66126A3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.86737514,-30.41434329]}"""
"Escuela N 294 Jos Darragueira,Fotovoltaico,LA RIOJA,CHAMICAL,,No,0101000020E61000005A7B860D627750C0BF58E7312D263EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-65.86535967,-30.14912712]}"""
",Fotovoltaico,LA RIOJA,GENERAL SAN MARTIN,La Industria,No,0101000020E610000021B07268918150C0BA6B09F9A0873FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.0245,-31.5298]}"""
"Escuela N 395 Yapeyu,Fotovoltaico,LA RIOJA,GENERAL SAN MARTIN,,No,0101000020E610000021B07268918150C0BA6B09F9A0873FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.0245,-31.5298]}"""
"Escuela N 227,Fotovoltaico,LA RIOJA,ROSARIO VERA PEï¿½ALOZA,,No,0101000020E6100000A906ED17249550C0628E586A41983FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.33032797,-31.59474816]}"""
",Fotovoltaico,LA RIOJA,ROSARIO VERA PEÃALOZA,Agua Blanca,No,0101000020E610000083C0CAA1459250C032772D211FB43FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.2855,-31.7036]}"""
"Escuela N 173,Fotovoltaico,LA RIOJA,ROSARIO VERA PEï¿½ALOZA,,No,0101000020E610000083C0CAA1459250C032772D211FB43FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.2855,-31.7036]}"""
",Fotovoltaico,LA RIOJA,ROSARIO VERA PEÃALOZA,Agua de Aguirre,No,0101000020E61000004F401361C3A750C0C139234A7B233FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6213,-31.1386]}"""
"Escuela N 221 Julian Noe Aguilar,Fotovoltaico,LA RIOJA,ROSARIO VERA PEï¿½ALOZA,,No,0101000020E61000004F401361C3A750C0C139234A7B233FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6213,-31.1386]}"""
",Fotovoltaico,LA RIOJA,ROSARIO VERA PEÃALOZA,La Laguna,No,0101000020E6100000AEB6627FD9A950C00C022B8716293FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6539,-31.1605]}"""
"Escuela N 128,Fotovoltaico,LA RIOJA,ROSARIO VERA PEï¿½ALOZA,,No,0101000020E6100000AEB6627FD9A950C00C022B8716293FC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.6539,-31.1605]}"""
",Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,Tuani,No,0101000020E6100000931804560EA150C0B003E78C28ED3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.5165,-30.9264]}"""
"Escuela primaria N 277,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E61000005CE91093CBB44DC010C935AA789A3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.4124626,-29.6034037]}"""
"Escuela N 105 Anfiloquia Velardez de Gomez,Fotovoltaico,LA RIOJA,GENERAL JUAN F QUIROGA,,No,0101000020E6100000931804560EA150C0B003E78C28ED3EC0,""{""""type"""":""""Point"""",""""coordinates"""":[-66.5165,-30.9264]}"""
",Fotovoltaico,CORRIENTES,ITUZAINGO,Isla Apipe Chico,No,0101000020E61000006DE7FBA9F15A4CC0DFE00B93A9923BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7105,-27.5729]}"""
",Fotovoltaico,CORRIENTES,ITUZAINGO,Isla Apipe Chico,No,0101000020E6100000781122F0F25A4CC0276D89E0A8923BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.71053888,-27.57288936]}"""
"Escuela N 219 Ejercito Argentino,Fotovoltaico,CORRIENTES,ITUZAINGO,,No,0101000020E61000006DE7FBA9F15A4CC0DFE00B93A9923BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7105,-27.5729]}"""
"Escuela N 219 Ejercito Argentino,Fotovoltaico,CORRIENTES,ITUZAINGO,,No,0101000020E6100000781122F0F25A4CC0276D89E0A8923BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.71053888,-27.57288936]}"""
"Escuela N 752 Prefectura Naval Argentina,Fotovoltaico,CORRIENTES,ITUZAINGO,,No,0101000020E6100000338F78891C7E4CC02DEC6987BF773BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.98524588,-27.46776625]}"""
"Escuela N 977,Fotovoltaico,CORRIENTES,SAN MIGUEL,,No,0101000020E6100000DAFE959526A34CC06EFB1EF5D7C33BC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.274615,-27.765014]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,San Martï¿½n,No,0101000020E61000005EDA70581A764CC0CC0A45BA9F1B3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.922679,-29.107906]}"""
"Escuela N 765,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E610000075029A081B764CC0083D9B559F1B3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.9227,-29.1079]}"""
"Escuela N 703 Tte. Gral. Pedro Eugenio Aramburu,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E6100000F5C7288D20994CC0D64EF7AEFFF73CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.19630589,-28.96874517]}"""
"Escuela N 965,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E610000020D099B4A9904CC0CCD47F31B6AC3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.130179,-28.67465505]}"""
"Escuela N 933,Fotovoltaico,CORRIENTES,CONCEPCION,,No,0101000020E6100000BF29AC5450FB4CC04694F6065F603CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.963389,-28.37645]}"""
",Fotovoltaico,CORRIENTES,SAN ROQUE,Lujan,No,0101000020E610000002BC0512144F4DC0363CBD5296913CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.6178,-28.5687]}"""
",Fotovoltaico,CORRIENTES,SAN ROQUE,Canada Mala,No,0101000020E6100000B459F5B9DA624DC0022B8716D9AE3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.7723,-28.683]}"""
",Fotovoltaico,CORRIENTES,SAN ROQUE,Lujï¿½n,No,0101000020E61000007FA060EF134F4DC02B52BC2594913CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.61779587,-28.5686668]}"""
",Fotovoltaico,CORRIENTES,SAN ROQUE,Caï¿½ada Mala,No,0101000020E610000030478FDFDB624DC021ACC612D6AE3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.772335,-28.682954]}"""
"Escuela N 153 Combate De San Lorenzo,Fotovoltaico,CORRIENTES,SAN ROQUE,,No,0101000020E610000002BC0512144F4DC0363CBD5296913CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.6178,-28.5687]}"""
"Escuela N 249,Fotovoltaico,CORRIENTES,SAN ROQUE,,No,0101000020E6100000B459F5B9DA624DC0022B8716D9AE3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.7723,-28.683]}"""
"Escuela N 153 Combate de San Lorenzo,Fotovoltaico,CORRIENTES,SAN ROQUE,,No,0101000020E61000007FA060EF134F4DC02B52BC2594913CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.61779587,-28.5686668]}"""
"Escuela N 316,Fotovoltaico,CORRIENTES,CURUZU CUATIA,,No,0101000020E610000072B26024AC474DC0171C35915FCD3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.55994086,-29.80223949]}"""
",Fotovoltaico,CORRIENTES,GOYA,Esquina,No,0101000020E61000004EA2B9A9DC9E4DC0AB28B91EE0C83DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.2411091,-29.7846698]}"""
"Escuela N 628,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000006688635DDC9E4DC0D42B6519E2C83DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.2411,-29.7847]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E6100000522635B401824DC08491A86109B53DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.015677,-29.7071744]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Malvinas,No,0101000020E6100000ADC41B1D80814DC0FB5179E008B53DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.01172222,-29.7071667]}"""
"Escuela N 640,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000000B46257502824DC030BB270F0BB53DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.0157,-29.7072]}"""
"EFA IS 18,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000ADC41B1D80814DC0FB5179E008B53DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.01172222,-29.7071667]}"""
"Escuela N 677,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000242DAE5444984DC036D806B4958D3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.18958529,-29.55306554]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,Yuru Cua,No,0101000020E61000008BFD65F7E4614CC0053411363CCD3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7648,-28.8017]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,Yuru Cua,No,0101000020E61000000E4FAF9465684CC061545227A0B93CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.8156,-28.7251]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,Yuru Cua,No,0101000020E6100000984E4E61E3614CC07CB4BC9B3CCD3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.76475159,-28.80170606]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,Yuru Cua,No,0101000020E61000006D30BBC464684CC0C6738D019FB93CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.81557521,-28.72508249]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,San Martï¿½n,No,0101000020E6100000C59A5F072D5C4CC065E256410CE43CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.72012417,-28.890812]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,San Martï¿½n,No,0101000020E6100000950046E1445E4CC0DE1A5C6365F43CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.73647705,-28.95467206]}"""
",Fotovoltaico,CORRIENTES,SAN MARTIN,San Martï¿½n,No,0101000020E6100000B0FC5CE19B6B4CC02DEFE4B255153DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.84069459,-29.08333891]}"""
"Escuela N 41 Virginia Burgos De Feu,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E61000008BFD65F7E4614CC0053411363CCD3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7648,-28.8017]}"""
"Escuela N 604 Ejercito Argentino,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E61000000E4FAF9465684CC061545227A0B93CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.8156,-28.7251]}"""
"Escuela N 41 Virginia Burgos de Feu,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E6100000984E4E61E3614CC07CB4BC9B3CCD3CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.76475159,-28.80170606]}"""
"Escuela N 154,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E6100000C0EC9E3C2C5C4CC0DC4603780BE43CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7201,-28.8908]}"""
"Escuela N 231 Gral.Matias de Irigoyen,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E610000083C0CAA1455E4CC0BF7D1D3867F43CC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.7365,-28.9547]}"""
"Escuela N 902,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E6100000A4DFBE0E9C6B4CC0BEC1172653153DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.8407,-29.0833]}"""
"Escuela N 642 Ejercito Argentino,Fotovoltaico,CORRIENTES,SAN MARTIN,,No,0101000020E610000034100D8360674CC04143C5598D1A3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-56.80763281,-29.10371934]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E61000006B71D75C7F7F4DC0BB20C77B7AAB3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9960743,-29.6698377]}"""
"Escuela N 641,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000D6C56D34807F4DC05DDC460378AB3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9961,-29.6698]}"""
"Escuela primaria comun N 283,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E6100000DE8BD420715E4DC0322C353113A73DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.7378274,-29.6526366]}"""
"Escuela N 770,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E610000026EF9020E4944DC0EE388FD48CAB3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.16321189,-29.67011765]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E6100000C3B25F98C8894DC065CA0368C6B33DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.07643418,-29.70224619]}"""
"Escuela N 466,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000000BB5A679C7894DC04F401361C3B33DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.0764,-29.7022]}"""
",Fotovoltaico,CORRIENTES,ESQUINA,Esquina,No,0101000020E6100000CAD2985A007E4DC05B45DA2159A13DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9843858,-29.6302663]}"""
"Escuela Francisco Bocalandro,Fotovoltaico,CORRIENTES,ESQUINA,,No,0101000020E61000005917B7D1007E4DC036AB3E575BA13DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-58.9844,-29.6303]}"""
"Escuela N 295,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E610000085ED27637CBA4DC0BE175FB4C79B3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.456921,-29.608516]}"""
"Escuela N 595,Fotovoltaico,CORRIENTES,GOYA,,No,0101000020E6100000B5332B5F409D4DC081C2C9CBD4993DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-59.22852697,-29.60090326]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Mercedes,No,0101000020E6100000D26F5F07CEB94CC03D2CD49AE62D3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.4516,-29.1793]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Mercedes,No,0101000020E6100000370EA3BDCDB94CC00C80C88DE82D3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.45159121,-29.17932974]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Mercedes,No,0101000020E610000010E9B7AF03B74CC0355EBA490C523DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.4298,-29.3205]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Paraje San Salvador,No,0101000020E6100000F085C954C1C04CC0EA95B20C714C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.5059,-29.2986]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Mercedes,No,0101000020E61000009E1BC33105B74CC0E970BE2209523DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.42984602,-29.3204519]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Paraje San Salvador,No,0101000020E6100000DF1AD82AC1C04CC0E4D87A86704C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.505895,-29.298592]}"""
",Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,Paso de los Libres,No,0101000020E6100000E9FF0BBAF3884CC0738A6565C15C3DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.06993795,-29.36232599]}"""
"Escuela N 342,Fotovoltaico,CORRIENTES,PASO DE LOS LIBRES,,No,0101000020E610000010E9B7AF03B74CC0355EBA490C523DC0,""{""""type"""":""""Point"""",""""coordinates"""":[-57.4298,-29.3205]}"""
